,city,lat,lng,max_temp,humidity,cloudiness,windspeed,country,date,max_temp_cel
242,bambous virieux,-20.3428,57.7575,295.29,64.0,40.0,5.14,MU,1624124304.0,22.140000000000043
243,mogzon,51.7435,111.9606,280.97,96.0,97.0,1.36,RU,1624124664.0,7.82000000000005
244,ulladulla,-35.35,150.4667,284.87,71.0,93.0,8.3,AU,1624124665.0,11.720000000000027
245,marzuq,14.4,46.4667,302.44,15.0,29.0,0.95,YE,1624124665.0,29.29000000000002
246,karaul,,,,,,,,,
247,tarko-sale,64.9225,77.785,279.4,76.0,96.0,2.66,RU,1624124665.0,6.25
248,acari,-15.4311,-74.6158,297.98,52.0,75.0,3.7,PE,1624124666.0,24.83000000000004
249,tautira,-17.7333,-149.15,299.16,80.0,27.0,7.36,PF,1624124256.0,26.010000000000048
250,biak,-0.9131,122.8766,297.25,84.0,80.0,2.56,ID,1624124666.0,24.100000000000023
251,dolbeau,,,,,,,,,
252,powell river,49.8496,-124.5361,291.53,77.0,90.0,3.6,CA,1624124407.0,18.379999999999995
253,tessalit,20.1986,1.0114,313.46,6.0,2.0,1.09,ML,1624124667.0,40.31
254,taoudenni,22.6783,-3.9836,316.4,9.0,25.0,5.67,ML,1624124253.0,43.25
255,parkes,-33.1333,148.1833,278.9,80.0,1.0,2.85,AU,1624124667.0,5.75
256,cadereyta,25.5833,-99.9833,306.14,42.0,98.0,4.27,MX,1624124667.0,32.99000000000001
257,lavrentiya,65.5833,-171.0,282.25,66.0,16.0,2.09,RU,1624124313.0,9.100000000000023
258,pinega,64.7001,43.3936,285.57,66.0,55.0,1.68,RU,1624124668.0,12.420000000000016
259,makakilo city,21.3469,-158.0858,298.33,69.0,1.0,2.06,US,1624124299.0,25.180000000000007
260,port lincoln,-34.7333,135.8667,283.74,68.0,6.0,0.35,AU,1624124599.0,10.590000000000032
261,severodvinsk,64.5635,39.8302,289.21,80.0,23.0,0.76,RU,1624124433.0,16.060000000000002
262,zelenogradsk,54.9589,20.4767,300.18,65.0,0.0,2.0,RU,1624124669.0,27.03000000000003
263,pacific grove,36.6177,-121.9166,302.2,89.0,75.0,2.68,US,1624124227.0,29.05000000000001
264,sijunjung,-0.6876,100.9537,294.98,89.0,91.0,0.91,ID,1624124669.0,21.83000000000004
265,ostrovnoy,68.0531,39.5131,284.14,72.0,38.0,2.19,RU,1624124450.0,10.990000000000009
266,saravan,39.7196,45.6483,297.51,54.0,0.0,4.91,AM,1624124670.0,24.360000000000014
267,geraldton,-28.7667,114.6,280.38,81.0,24.0,5.66,AU,1624124463.0,7.230000000000018
268,taunggyi,20.7833,97.0333,290.3,94.0,74.0,1.95,MM,1624124670.0,17.150000000000034
269,praia da vitoria,38.7333,-27.0667,296.9,78.0,75.0,8.89,PT,1624124281.0,23.75
270,linhares,-19.3911,-40.0722,296.55,60.0,93.0,3.63,BR,1624124670.0,23.400000000000034
271,ankazoabo,-22.2833,44.5167,291.88,58.0,0.0,4.3,MG,1624124671.0,18.730000000000018
272,praia,14.9215,-23.5087,300.45,54.0,20.0,5.66,CV,1624124671.0,27.30000000000001
273,yarega,63.4354,53.5765,281.43,68.0,4.0,6.85,RU,1624124671.0,8.28000000000003
274,mys shmidta,,,,,,,,,
275,kalmunai,7.4167,81.8167,301.21,73.0,98.0,1.76,LK,1624124259.0,28.060000000000002
276,smithers,54.7804,-127.1743,287.33,54.0,20.0,1.54,CA,1624124583.0,14.180000000000007
277,fortuna,40.5982,-124.1573,290.92,71.0,5.0,3.26,US,1624124297.0,17.77000000000004
278,cabedelo,-6.9811,-34.8339,301.52,79.0,13.0,7.44,BR,1624124673.0,28.370000000000005
279,umm kaddadah,13.6017,26.6876,307.87,19.0,33.0,3.49,SD,1624124359.0,34.72000000000003
280,kununurra,-15.7667,128.7333,292.14,39.0,26.0,2.57,AU,1624124338.0,18.99000000000001
281,bassar,9.25,0.7833,303.63,58.0,52.0,1.64,TG,1624124673.0,30.480000000000018
282,quang ngai,15.1167,108.8,299.02,80.0,81.0,2.53,VN,1624124514.0,25.870000000000005
283,muli,2.9167,73.5667,301.75,75.0,97.0,6.32,MV,1624124263.0,28.600000000000023
